Periode,ID_Cabang,Wilayah,Nama_Cabang,No_Rekening,Nama_Nasabah,Sisa_Outstanding,Kolektibilitas
2024-01-31,CBG001,Jakarta,Cabang Sudirman,5223231084,Nasim Mahendra,338797335,5
2024-01-31,CBG001,Jakarta,Cabang Sudirman,8712237071,Oni Wahyuni,309843222,5
2024-01-31,CBG001,Jakarta,Cabang Sudirman,6523498484,"Hj. Paramita Palastri, S.Sos",403797430,5
2024-01-31,CBG001,Jakarta,Cabang Sudirman,1168866010,"Ilsa Prastuti, S.Pd",396849466,5
2024-01-31,CBG001,Jakarta,Cabang Sudirman,2590973854,Damu Safitri,249440030,4
2024-01-31,CBG001,Jakarta,Cabang Sudirman,4727357142,T. Edi Namaga,405632417,5
2024-01-31,CBG001,Jakarta,Cabang Sudirman,631003563,Diah Fujiati,297606084,2
2024-01-31,CBG001,Jakarta,Cabang Sudirman,7336953412,Jaka Lailasari,435311440,1
2024-01-31,CBG001,Jakarta,Cabang Sudirman,490516227,"Yani Suwarno, S.E.",324162872,5
2024-01-31,CBG001,Jakarta,Cabang Sudirman,8516805113,Drs. Asirwanda Sihombing,331483829,5
2024-01-31,CBG001,Jakarta,Cabang Sudirman,8455925481,"Dono Wacana, S.I.Kom",219063640,3
2024-01-31,CBG001,Jakarta,Cabang Sudirman,3899532213,Soleh Suartini,159266854,3
2024-01-31,CBG001,Jakarta,Cabang Sudirman,4294847482,"Dr. Chelsea Puspasari, M.Kom.",487178444,3
2024-01-31,CBG001,Jakarta,Cabang Sudirman,9428362352,Upik Prasasta,319842850,1
2024-01-31,CBG001,Jakarta,Cabang Sudirman,609431906,"R. Nilam Mansur, M.M.",156949817,5
2024-01-31,CBG001,Jakarta,Cabang Sudirman,506284817,"Rika Saragih, S.T.",443118737,3
2024-01-31,CBG001,Jakarta,Cabang Sudirman,9316623073,"Jayadi Putra, S.Gz",461319395,4
2024-01-31,CBG001,Jakarta,Cabang Sudirman,493693473,Wadi Wahyudin,390916824,1
